Rank,Player,Cl,Ht,Pos,S,Kills,Errors,Total Attacks,Pct.
35,"Kaleb Denmark, Pepperdine (MPSF)",Sr.,6-4,,7,20,8,43,0.279
35,"Will Tischler, Loyola Chicago (MIVA)",Sr.,6-7,,7,20,8,43,0.279
37,"Campbell Schoenfeld, Harvard (EIVA)",Fr.,6-8,,13,25,10,56,0.268
38,"Joel Schneidmiller, UC Irvine (Big West)",So.,6-6,,9,41,18,86,0.267
39,"Maciej Ptaszynski, CSUN (Big West)",So.,6-6,,14,28,11,66,0.258
40,"Dimitar Kalchev, CSUN (Big West)",Sr.,6-4,,14,49,22,105,0.257
41,"Hayden Wagner, George Mason (EIVA)",Jr.,6-6,,7,24,11,52,0.250
42,"Matthew McLaren, Penn St. (EIVA)",Sr.,6-4,,4,11,4,29,0.241
43,"Ryan Hong, Harvard (EIVA)",Fr.,6-2,,13,18,8,44,0.227
44,"TJ DeFalco, Long Beach St. (Big West)",Sr.,6-4,,9,26,14,55,0.218
45,"Jordan Hoppe, CUI (MPSF)",Jr.,0-0,,10,30,12,83,0.217
46,"Colton Stone, Purdue Fort Wayne (MIVA)",Sr.,6-5,,6,12,5,33,0.212
47,"Jackson Gilbert, North Greenville (Conference Carolinas)",Jr.,6-6,,6,16,8,38,0.211
47,"Adrian Iglesias, Barton (Conference Carolinas)",Fr.,6-5,,4,9,5,19,0.211
49,"Christian Janke, Grand Canyon (MPSF)",Fr.,6-5,,11,40,21,91,0.209
50,"Karl Apfelbach, UC Irvine (Big West)",Sr.,6-8,,9,20,9,53,0.208
51,"Matt Szews, Ball St. (MIVA)",Jr.,6-8,,8,23,11,60,0.200
52,"Griffin Schmit, Harvard (EIVA)",So.,6-5,,13,25,12,71,0.183
53,"Tony Price, Purdue Fort Wayne (MIVA)",Sr.,6-4,,6,15,7,46,0.174
54,"Jack Burton, Grand Canyon (MPSF)",Jr.,6-4,,10,14,7,41,0.171
55,"Ksawery Tomsia, CSUN (Big West)",Jr.,6-7,,11,36,21,91,0.165
56,"Luke Denton, Loyola Chicago (MIVA)",Fr.,6-6,,7,14,8,39,0.154
56,"Erik Johnsson, Harvard (EIVA)",Jr.,6-4,,13,22,12,65,0.154
58,"Ryan Coenen, Lewis (MIVA)",Jr.,6-9,,6,18,11,47,0.149
59,"Greg Luck, Princeton (EIVA)",Jr.,6-5,,13,22,13,63,0.143
60,"Will Schwob, Grand Canyon (MPSF)",Sr.,6-4,,9,17,11,49,0.122
61,"Brandon Baker, North Greenville (Conference Carolinas)",So.,6-6,,5,10,7,28,0.107
62,"Ben Hamsho, North Greenville (Conference Carolinas)",Jr.,6-7,,6,8,6,20,0.100
63,"Angelos Mandilaris, Barton (Conference Carolinas)",Jr.,6-5,,4,9,7,21,0.095
64,"Raymond Barsemian, CUI (MPSF)",Jr.,6-6,,10,23,17,66,0.091
64,"Aaron Campbell, North Greenville (Conference Carolinas)",Sr.,6-6,,6,10,6,44,0.091
66,"Xander Jimenez, UC San Diego (Big West)",Jr.,6-4,,7,13,10,34,0.088
67,"Eric Beatty, Stanford (MPSF)",Jr.,6-7,,5,9,7,23,0.087
68,"Wyatt Harrison, UC San Diego (Big West)",So.,6-4,,5,9,7,30,0.067
69,"Owen Chun, CUI (MPSF)",So.,0-0,,7,9,8,27,0.037
70,"Collin Shannon, UC San Diego (Big West)",So.,6-7,,5,8,9,26,-0.038
71,"Julian Moses, Lewis (MIVA)",Sr.,6-4,,6,12,14,38,-0.053
72,"Max Senica, Charleston (WV) (EIVA)",So.,6-2,,3,2,5,14,-0.214
73,"Nic Cavallaro, Queens (NC) (DI Independent)",So.,6-3,,3,4,9,20,-0.250
74,"Tristan Santoyo, Queens (NC) (DI Independent)",So.,6-3,,3,2,7,18,-0.278
