Rank,Player,Cl,Ht,Pos,S,Aces,Per Set
67,"Hunter Howell, CUI (MPSF)",Sr.,6-7,,10,2,0.200
67,"Berkeley Miesfeld, UC San Diego (Big West)",Fr.,6-4,,5,1,0.200
67,"Collin Shannon, UC San Diego (Big West)",So.,6-7,,5,1,0.200
70,"Aaron Campbell, North Greenville (Conference Carolinas)",Sr.,6-6,,6,1,0.167
70,"Ryan Coenen, Lewis (MIVA)",Jr.,6-9,,6,1,0.167
70,"Jacob Kerschner, Lewis (MIVA)",Jr.,6-4,,6,1,0.167
70,"Julian Moses, Lewis (MIVA)",Sr.,6-4,,6,1,0.167
70,"TJ Murray, Lewis (MIVA)",So.,6-9,,6,1,0.167
70,"Jack Reese, George Mason (EIVA)",So.,6-8,,6,1,0.167
76,"Matthew Ctvrlik, Harvard (EIVA)",Jr.,6-5,,13,2,0.154
76,"George Huhmann, Princeton (EIVA)",Jr.,6-11,,13,2,0.154
78,"Owen Chun, CUI (MPSF)",So.,0-0,,7,1,0.143
78,"Kaleb Jenness, Ball St. (MIVA)",Fr.,6-6,,7,1,0.143
78,"Isaiah Kaaa, CUI (MPSF)",Sr.,6-2,,7,1,0.143
78,"Brandon Rattray, UCLA (MPSF)",Jr.,6-5,,7,1,0.143
78,"Daniel Wetter, CSUN (Big West)",Fr.,6-5,,14,2,0.143
78,"Michael Wexter, Pepperdine (MPSF)",Sr.,6-6,,7,1,0.143
84,"Louis Richard, Long Beach St. (Big West)",Sr.,6-3,,8,1,0.125
84,"Jack Truman, UC Santa Barbara (Big West)",Fr.,6-11,,8,1,0.125
84,"Garrett Zolg, Loyola Chicago (MIVA)",So.,6-3,,8,1,0.125
84,"Enrique de Diego Garcia, NJIT (Independent)",Sr.,6-5,,8,1,0.125
88,"Karl Apfelbach, UC Irvine (Big West)",Sr.,6-8,,9,1,0.111
88,"Marty Heavey, Harvard (EIVA)",Jr.,6-4,,9,1,0.111
88,"Aaron Koubi, UC Irvine (Big West)",Sr.,6-5,,9,1,0.111
88,"Austin Wilmot, UC Irvine (Big West)",So.,6-9,,9,1,0.111
92,"Philip Barker, CSUN (Big West)",Fr.,6-7,,10,1,0.100
92,"Caleb Blazer, Grand Canyon (MPSF)",Jr.,6-6,,10,1,0.100
92,"Jack Burton, Grand Canyon (MPSF)",Jr.,6-4,,10,1,0.100
95,"Trevor Dow, Harvard (EIVA)",Sr.,6-10,,13,1,0.077
95,"Ryan Hong, Harvard (EIVA)",Fr.,6-2,,13,1,0.077
